Dataset,Year,Content,Emotions,Format,Size,Language,Paper,Access,License
"`Hi, KIA <https://zenodo.org/records/7091465>`_",2022,A shared short Wakeup Word database focusing on perceived emotion in speech The dataset contains 488 Wakeup Word speech,"angry, happy, sad, neutral",Audio,0.75 GB,Korean,"`Hi, KIA: A Speech Emotion Recognition Dataset for Wake-Up Words <https://arxiv.org/abs/2211.03371>`_",Open,`CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0/>`_
`Emozionalmente <https://zenodo.org/records/6569824>`_,2022,6902 labeled samples acted out by 431 amateur actors while verbalizing 18 different sentences,"anger, disgust, fear, joy, sadness, surprise, neutral",Audio,0.581 GB,Italian,--,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`Kannada <https://zenodo.org/records/6345107>`_,2022,"468 audio samples, six different sentences, pronounced by thirteen people (four male and nine female), in five basic emotions plus one neutral emotion","Anger, Sadness, Surprise, Happiness, Fear, Neutral",Audio,0.1661 GB,Kannada,--,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`emoUERJ <https://zenodo.org/records/5427549>`_,2021,"Ten sentences from eight actors, equally divided between genders, and they were free to choose the phrases for record audios in four emotions (377 audios). ","happiness, anger, sadness or neutral",Audio,0.1051 GB,Portuguese (Brazilian),--,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`ESCorpus-PE <https://zenodo.org/records/5793223>`_,2021,"Spanish peruvian speech gathered from Spanish interviews, TV reports, political debate and testimonials. It contains 3749 utterances, 80 speakers (44 male and 36 female), created from Youtube audios","Valence, Arousal and Dominance",Audio,1.9 GB,Spanish (Peruvian),--,Open,`CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0/>`_
`SUBSECO <https://zenodo.org/record/6339787>`_,2021,"7000 sentence-level utterances of the Bangla language, 20 professional actors (10 males and 10 females), recordings, 10 sentences for 7 target emotions.","Anger, Disgust, Fear, Happiness, Neutral, Sadness and Surprise",Audio,1.7 GB,English,`SUST Bangla Emotional Speech Corpus (SUBESCO): An audio-only emotional speech corpus for Bangla <https://doi.org/10.1371/journal.pone.0250173>`_,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`Audio-Speech-Sentiment <https://www.kaggle.com/imsparsh/audio-speech-sentiment-analysis>`_,2021,Audio Speech Sentiment Dataset,"4 emotions provides audio recordings of spoken sentences for anger, happiness, sadness, and neutral emotions.",Audio,1.1 GB,English,--,Open,`CC0: Public Domain <https://creativecommons.org/publicdomain/zero/1.0/>`_
`Quechua-SER <https://figshare.com/articles/media/Quechua_Collao_for_Speech_Emotion_Recognition/20292516>`_,2022,12420 audio recordings (~15 hours) and their transcriptions by 7 native speakers.,"Emotional labels using dimensions: valence, arousal, and dominance.",Audio,3.53 GB,Quechua Collao,`A speech corpus of Quechua Collao for automatic dimensional emotion recognition <https://www.nature.com/articles/s41597-022-01855-9>`_,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`MESD <https://data.mendeley.com/datasets/cy34mh68j9/5>`_,2022,864 audio files of single-word emotional utterances with Mexican cultural shaping.,"6 emotions provides single-word utterances for anger, disgust, fear, happiness, neutral, and sadness.",Audio,0.097 GB,Spanish (Mexican),`The Mexican Emotional Speech Database (MESD): elaboration and assessment based on machine learning <https://pubmed.ncbi.nlm.nih.gov/34891601/>`_,Open,`CC BY 4.0 <https://creativecommons.org/licenses/by/4.0/>`_
`SyntAct <https://zenodo.org/record/6573016#.ZAjy_9LMJpj>`_,2022,Synthesized database of three basic emotions and neutral expression based on rule-based manipulation for a diphone synthesizer which we release to the public ,"997 utterances including 6 emotions: angry, bored, happy, neutral, sad and scared",Audio,0.941 GB,German,`SyntAct: A Synthesized Database of Basic Emotions <http://felix.syntheticspeech.de/publications/synthetic_database.pdf>`_,Open,`CC BY-SA 4.0 <https://creativecommons.org/licenses/by/4.0>`_
`LSSED <https://github.com/tobefans/LSSED>`_,2021,LSSED: A Large-Scale Dataset and Benchmark for Speech Emotion Recognition,"Anger, happiness, sadness, disappointment, boredom, disgust, excitement, fear, surprise, normal, and other.",Audio,90 GB,English,`LSSED: A Large-Scale Spanish Emotional Speech Database for Speech Processing and Machine Learning <https://arxiv.org/abs/2102.01754>`_,Restricted,`- <https://github.com/tobefans/LSSED/blob/main/EULA.pdf>`_
`MLEnd <https://www.kaggle.com/datasets/jesusrequena/mlend-spoken-numerals>`_,2021,"~32700 audio recordings files produced by 154 speakers. Each audio recording corresponds to one English numeral (from ""zero"" to ""billion"")","Intonations: neutral, bored, excited and question",Audio,2.27 GB,--,--,Open,Unknown
`ASVP-ESD <https://www.kaggle.com/datasets/dejolilandry/asvpesdspeech-nonspeech-emotional-utterances>`_,2021,"~13285 audio files collected from movies, tv shows and youtube containing speech and non-speech.","12 different natural emotions (boredom, neutral, happiness, sadness, anger, fear, surprise, disgust, excitement, pleasure, pain, disappointment) with 2 levels of intensity.",Audio,2 GB,"Chinese, English, French, Russian and others",--,Open,Unknown
